2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m
36396;53224;63922;36268;110576;54238;19238;74612;48446;38344;102994;40234;36256;161496;99940;58158;157158;115222;14634;40488;29868;30574;73446;61406;44048;90398;81910;43934;116172;88868;58616;127384;112932;30878;36790;27420;24314;79260;62168;36450;97786;64858;52602;99898;58656;61334;50980;62998;94786;32640;81532;24798;61904;50404;25046;103030;86186;50082;115614;79296
39520;56746;63988;36338;112750;55610;18248;74282;47192;38470;113540;41240;38502;130534;101250;63024;109638;138376;14634;40486;29866;30576;73442;60494;44046;90406;81908;43938;116172;88874;58628;127386;112932;32430;35236;26162;24482;85130;53696;39158;113200;60614;50800;95740;74732;60856;74370;60410;94810;37304;108636;24794;61268;49974;24752;92320;86680;49612;106666;100840
39520;56740;63988;36334;112752;55608;18248;74280;47414;38472;113540;41240;38500;130536;101250;63028;109636;138376;14634;40490;29866;30576;73434;60494;44040;90412;81908;43938;116166;88876;58630;127378;112930;32430;35238;26160;24482;85128;53696;39180;113208;60614;50800;95738;74732;60864;74368;60406;94810;37318;108636;24794;61262;49972;24750;92318;86680;49612;107010;100844
36378;54564;60784;40276;114010;55618;18248;74282;47368;38474;113540;41240;38500;130536;101250;63024;109636;138376;14634;40490;29864;30576;73436;60494;44044;90404;81908;43938;116160;88876;58630;127376;112920;32430;35238;26160;24478;85122;53692;39180;113214;60614;50800;95742;74732;60864;74366;60406;94810;37332;108622;24794;61262;49972;24752;92314;86684;49614;107014;100840
36380;54564;60784;40276;114000;55620;18248;74272;47366;38474;113534;41244;38500;130528;101250;63024;109638;138376;14634;40490;29864;30576;73442;60496;44046;90396;81908;43938;116160;88870;58624;127372;112930;32492;35236;26160;24478;85126;53696;39180;113214;60614;50808;95730;74724;60864;74378;60406;94792;37320;108624;24826;61478;51400;25106;93196;88956;50126;112686;102638
38816;55506;65774;37798;114688;58374;18532;71804;64684;36222;105378;44750;36160;145452;99092;63588;161658;140966;15346;43646;26570;29418;83564;62768;43636;100344;76372;44012;94106;96984;58076;97980;112018;32492;35236;26162;24478;85126;53692;39180;113208;60614;50808;95730;74722;60864;74380;60406;94798;37306;108632;24826;61476;51402;25106;93198;88950;50128;112686;102640
38826;55504;65770;37796;114680;58374;18532;71790;64680;36218;105378;44750;36164;145460;99092;63588;161666;140972;15348;43648;26566;29416;83566;62758;43636;100338;76368;44016;94106;96994;58068;97980;112018;32432;35234;26162;24480;85132;53690;39176;113200;60614;50808;95728;74730;60856;74380;60450;94786;37292;108636;24826;61478;51402;25108;93200;88934;50126;112688;102638
37032;55442;65368;36390;114080;60426;18532;71792;64674;36220;105374;44750;36166;145462;99092;63588;161666;140966;15348;43648;26636;29416;83564;62760;43630;100342;76374;44016;94108;96986;58068;97980;112010;30804;30490;30268;25578;60882;50356;36372;110392;68620;48834;92950;74640;61232;38488;97218;94238;56034;78938;24472;62150;42856;24826;97304;89820;49724;124516;94708
37032;55442;65366;36392;114070;60430;18532;71792;64672;36222;105372;44746;36164;145454;99092;63592;161656;140956;15348;43646;26634;29416;83564;62760;43630;100350;76374;44010;94108;96986;58068;97980;112008;30804;30488;30356;25578;60882;50354;36372;110392;68612;48834;92958;74632;61232;38474;97208;94236;56022;78938;24474;62150;42846;24828;97304;89824;49724;124514;94704
36942;58830;66720;36138;116878;56754;18186;67370;61628;36536;104442;70278;36396;155156;111096;59340;148482;132368;15348;43644;26636;29416;83564;62926;43634;100356;76374;44010;94108;96986;58074;97980;112012;30802;30492;30356;25580;60882;50354;75558;110386;68612;48840;92966;74624;61222;38474;97206;94236;56008;78936;24472;62138;42880;24828;97304;89824;49726;124514;94704
36942;58828;66718;36140;116864;56582;18186;67368;61626;36538;104442;70276;36396;155148;111090;59340;148482;132376;14658;44128;33938;28988;72524;62292;43918;104090;82740;43864;119306;87008;58380;103694;115630;30802;30492;30358;25580;60878;50354;36378;110384;68618;48842;92970;74620;61222;38474;97206;94224;56006;78950;24818;59352;41850;25250;91516;97020;52174;113810;98080
37268;54466;65910;36334;116816;49824;18186;67372;61626;36540;104442;70272;36396;155146;111096;59346;148472;132376;14658;44132;33936;28982;72532;62292;43918;104090;82740;43860;119308;87008;58372;103770;115620;30802;30494;30358;25580;60878;50354;36374;110384;68620;48842;92960;74620;61230;38484;97180;94224;56020;78954;24816;59352;41852;25250;91510;97014;52174;113814;98074
37270;54468;65908;36332;116816;49824;18186;67374;61626;36540;104442;70276;36392;155154;111096;59346;148472;132376;14656;44132;33936;28982;72536;62304;43918;104090;82742;43864;119310;87016;58372;103782;115618;30802;30490;30358;25576;60878;50358;36372;110390;68620;48834;92950;74620;61232;38484;97176;94224;56032;78942;24816;59354;41850;25250;91510;97016;52174;113816;98078
38862;55208;63170;36142;112538;39026;18364;74040;53130;39614;96180;47528;36168;123168;95838;59292;122172;138812;14658;44132;33938;28984;72534;62304;43918;104082;82736;43866;119310;87018;58358;103790;115618;32506;33500;27850;24540;76814;53188;36896;90058;54868;48856;96972;73646;62870;82058;77056;86444;40916;106518;24542;61052;42268;24862;98208;95322;52280;110112;90874
38860;55206;63168;36144;112542;39024;18362;74036;53130;39616;96178;47532;36168;123176;95844;59294;122160;138804;14658;44132;33938;28984;72528;62308;43912;104084;82734;43866;119310;87010;58356;103706;115618;32504;33502;27848;24540;76814;53182;36896;90066;54874;48854;96970;73654;62868;82070;77046;86444;40912;106518;24544;61150;42270;24862;98210;95314;52284;110108;90868
37350;54188;57428;36442;113784;39646;18362;74034;53130;39616;96178;47528;36170;123178;95838;59296;122158;138812;15406;46398;17294;29050;90620;68512;43354;102726;70862;43614;110774;95114;58112;108932;117612;32504;33502;27850;24542;76816;53174;36900;90066;54870;48862;96958;73654;62868;82068;77054;86444;40910;106518;24546;61140;42268;24860;98214;95310;52284;110106;90872
